,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,score
0,3,12,2,8,3,8,2,5,1,1,2,4,3,6,1,5,3,0,3,8,4,7,4,0,0.741974746869957
1,3,8,2,8,3,8,2,5,1,1,2,4,3,6,1,5,3,0,3,8,4,7,4,0,0.66250067218505
2,3,12,2,8,3,8,2,5,1,1,4,4,3,6,1,5,3,0,3,8,4,7,4,0,0.663549407492158
3,3,12,2,8,3,8,2,5,1,1,2,4,1,6,1,5,3,0,3,8,4,7,4,0,0.744354025336141
4,3,12,2,8,3,8,2,5,1,1,2,4,3,6,1,0,3,0,3,8,4,7,4,0,0.517549750709325
5,3,12,2,8,3,8,2,5,1,1,2,4,3,6,1,9,3,0,3,8,4,7,4,0,0.627508608417973
6,3,0,2,8,3,8,2,5,1,1,2,4,1,6,1,5,3,0,3,8,4,7,4,0,0.564734252610071
7,3,12,2,8,3,8,2,5,1,3,2,4,1,6,1,5,3,0,3,8,4,7,4,0,0.608803866333683
8,3,12,2,8,3,8,2,5,1,1,1,4,1,6,1,5,3,0,3,8,4,7,4,0,0.505230306033165
9,3,12,2,8,3,8,2,5,1,1,2,4,1,6,1,5,3,0,3,12,4,7,4,0,0.668135956278102
10,3,12,2,8,3,8,2,5,1,1,2,4,1,6,1,5,3,11,3,12,4,7,4,0,0.538225086842534
11,3,12,2,8,3,8,2,5,1,1,2,2,1,6,1,5,3,11,3,12,4,7,4,0,0.503795110737572
12,3,12,2,8,3,8,2,9,1,1,2,2,1,6,1,5,3,11,3,12,4,7,4,0,0.539156517508163
13,3,12,2,8,3,8,2,5,1,1,2,2,1,6,1,5,3,10,3,12,4,7,4,0,0.510823376714944
14,2,0,1,0,7,5,8,2,6,5,6,2,3,1,8,4,0,1,0,2,5,8,1,8,0.571892658951044
15,2,0,1,0,7,5,8,2,6,5,6,2,3,1,8,4,0,1,12,2,5,8,1,8,0.514722042977603
16,2,0,1,0,7,5,8,2,6,5,6,2,3,1,8,4,6,1,10,2,5,8,1,8,0.60880258861444
17,2,0,1,0,7,5,8,2,6,5,6,2,3,1,8,4,12,1,0,2,5,8,1,8,0.537804540271679
18,2,0,3,0,7,5,8,2,6,5,6,2,3,1,8,4,6,1,10,2,5,8,1,8,0.559055420381482
19,3,0,1,10,7,4,4,3,4,7,4,6,3,0,1,1,4,5,6,2,4,7,4,8,0.557692877247936
20,1,6,1,0,2,7,1,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.610896871920701
21,1,6,1,0,2,7,1,5,7,4,6,1,5,5,1,11,7,3,6,4,2,2,5,2,0.527799241707955
22,1,10,1,0,2,7,1,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.633461368293863
23,1,10,1,10,2,7,1,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.504427316508237
24,1,10,1,0,2,7,1,5,7,4,6,1,5,5,1,0,7,3,6,4,4,4,5,2,0.583359305537926
25,1,2,1,10,2,7,1,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.556892317570525
26,1,12,1,0,2,7,1,5,7,4,6,1,5,5,1,1,7,3,6,4,2,2,5,2,0.564295531217499
27,1,12,1,0,2,7,3,5,7,4,6,1,5,5,1,1,7,3,6,4,2,2,5,2,0.53027122245479
28,3,12,2,8,3,12,2,5,1,1,2,4,3,6,1,5,3,0,3,8,4,7,4,0,0.641157198822231
29,3,12,2,8,3,8,2,5,1,1,4,4,3,6,1,5,3,0,3,8,2,7,4,0,0.630533404918177
30,3,12,2,8,3,8,2,5,3,1,4,4,3,6,1,5,3,0,3,8,4,7,4,0,0.59177834981971
31,3,12,2,8,3,8,2,5,1,1,4,4,3,6,1,0,3,0,3,8,4,7,4,0,0.536774794986557
32,3,12,2,8,3,8,2,5,0,1,4,4,0,6,1,5,3,0,3,8,4,7,4,0,0.625894868407288
33,3,0,2,8,3,8,2,5,1,1,2,4,3,6,1,5,3,0,3,8,4,7,4,0,0.59938938728016
34,3,12,2,8,3,8,2,5,1,1,2,2,3,6,1,5,3,0,3,8,4,7,4,0,0.663302972577488
35,3,12,2,8,3,8,2,5,1,1,2,4,3,6,1,5,3,9,3,8,4,7,4,0,0.58939785364444
36,3,8,2,8,3,8,2,5,3,1,2,4,3,6,1,5,3,0,3,8,4,7,4,0,0.633031880956604
37,3,8,2,8,3,8,2,5,1,1,2,4,4,1,1,5,3,0,3,8,4,7,4,0,0.524966994329444
38,3,8,2,8,3,8,2,5,1,1,2,4,3,6,1,5,3,7,3,8,4,7,4,0,0.50017925310971
39,3,12,2,4,3,8,2,5,1,1,2,4,3,6,1,5,3,0,3,8,4,7,4,0,0.519778505430276
40,3,12,2,8,3,8,2,5,1,1,2,4,3,6,1,5,3,0,3,8,2,7,4,0,0.59496983158106
41,3,10,2,8,3,8,2,5,1,1,2,4,3,6,1,9,3,0,3,8,4,7,4,0,0.510594432262537
42,3,12,2,8,3,8,2,5,1,1,2,2,3,6,1,9,3,0,3,8,4,7,4,0,0.627736872025085
43,3,12,2,8,3,8,2,5,1,1,2,4,3,6,1,9,3,0,3,8,2,7,4,0,0.605922058608542
44,3,12,2,8,3,8,2,5,1,1,2,2,3,6,1,9,3,11,3,8,4,7,4,0,0.557718707280461
45,3,12,2,8,3,8,2,5,1,1,2,2,3,6,1,9,3,0,3,8,4,7,4,12,0.660466239293824
