,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,score
0,5,1,0,10,6,9,3,11,1,7,8,8,8,2,8,10,5,8,3,11,3,9,2,9,0.136297415833986
1,10,4,3,2,3,10,9,3,3,3,8,12,10,10,3,9,2,10,5,8,5,12,4,6,0.136029863171014
2,7,0,4,1,9,10,11,12,9,6,5,0,12,9,8,10,11,7,12,6,9,10,5,1,0.104557811727044
3,7,4,12,6,9,12,2,7,8,10,3,12,6,3,0,3,10,1,4,8,12,4,8,9,0.121479752971216
4,4,1,8,4,0,4,10,0,12,11,1,0,5,8,9,2,8,12,9,9,8,1,4,5,0.106711547437904
5,6,9,12,10,7,10,7,11,1,5,2,12,11,6,3,11,0,8,6,10,10,12,10,3,0.154000151564938
6,4,6,5,1,6,11,7,7,2,9,3,5,8,3,9,2,3,12,12,11,3,11,4,4,0.165454125404658
7,8,5,2,3,0,6,2,8,9,6,3,7,3,11,7,12,10,7,5,4,4,1,9,3,0.32299851250801
8,0,4,3,0,0,5,12,4,2,12,2,0,8,0,11,2,11,11,8,0,9,6,1,4,0.161294417948112
9,0,6,12,2,9,4,7,5,6,6,10,8,11,4,5,1,7,1,4,11,9,2,5,7,0.162355413223386
10,2,7,0,4,5,0,4,7,9,12,0,7,1,5,4,4,6,0,2,2,2,10,6,3,0.239938606838226
11,6,3,10,11,7,12,10,12,2,11,1,12,7,5,11,5,2,3,3,4,12,3,7,6,0.068823393467534
12,4,8,11,2,1,8,8,5,2,4,3,11,11,9,5,11,5,4,1,3,10,11,11,3,0.094702915668424
13,6,8,9,2,1,1,2,10,2,11,1,9,3,10,5,11,11,11,3,10,2,2,7,3,0.30264378005518
14,9,1,5,1,12,11,2,1,1,9,7,6,3,3,7,4,0,5,7,5,4,9,0,0,0.311863660256014
15,11,9,7,10,12,3,1,3,10,2,0,8,8,10,9,4,7,0,6,5,8,12,11,7,0.060671710555418
16,7,6,10,6,10,11,4,11,12,0,4,2,12,6,10,2,1,2,7,10,7,5,12,9,0.222243243917996
17,4,2,8,8,11,4,12,10,10,4,0,12,8,3,3,3,7,1,5,2,8,5,10,7,0.113853022778318
18,12,1,2,9,9,0,5,10,7,10,3,8,7,4,9,6,3,12,12,6,0,8,11,0,0.333117412804936
19,5,0,5,12,10,1,9,3,11,9,7,12,1,10,1,2,5,12,0,4,10,5,0,9,0.152983190519814
20,4,2,0,11,5,7,6,7,6,10,6,11,11,1,11,3,8,7,9,0,1,8,12,12,0.105007096501958
21,0,7,10,2,6,11,1,7,0,3,10,3,11,2,12,0,8,5,5,11,4,1,10,11,0.318257224444204
22,2,6,8,5,10,10,10,12,11,11,2,12,7,8,4,4,2,12,12,6,2,4,9,8,0.336506727947702
23,12,11,5,7,2,11,9,2,1,6,10,1,2,8,5,3,7,4,10,2,6,5,11,7,0.14302200035373
24,8,7,5,8,9,6,6,12,9,1,5,5,6,10,10,7,1,5,0,2,7,0,3,11,0.158677267006752
25,2,10,12,2,4,0,0,11,0,9,0,12,2,8,4,3,4,11,10,12,9,8,11,7,0.151078257429414
26,3,11,11,7,12,1,2,8,12,7,1,6,0,3,6,7,2,0,2,6,10,5,10,4,0.265029505993762
27,6,10,8,11,11,10,6,8,9,8,11,9,11,2,4,1,6,4,12,5,10,0,0,9,0.200435315347142
28,4,8,4,1,3,1,2,6,11,11,12,6,4,3,4,8,0,10,12,1,12,5,10,7,0.313049814148746
29,11,2,12,4,4,8,3,1,8,7,2,0,3,2,12,12,8,3,4,10,10,10,9,2,0.112831707079298
30,4,9,5,7,12,0,1,1,8,5,5,5,1,0,3,7,3,5,11,1,7,12,11,11,0.15641340555721
31,4,6,9,2,0,11,0,8,0,7,1,2,5,1,0,11,10,4,11,3,10,8,6,3,0.308004668464296
32,8,1,2,6,10,8,2,2,10,4,10,7,7,6,0,3,7,0,0,12,3,9,3,1,0.156019977280022
33,0,5,6,0,6,8,0,3,2,2,9,8,5,3,11,8,12,0,6,7,0,6,3,3,0.07311345730895
34,9,5,0,2,4,5,8,11,10,11,12,10,7,0,8,0,2,11,9,10,12,8,11,6,0.169242256185456
35,9,3,6,4,10,5,6,3,6,8,10,2,6,3,5,0,6,0,9,0,0,7,6,1,0.121098307023432
36,4,0,7,7,6,7,5,4,8,1,1,4,11,10,11,0,8,8,12,7,11,11,12,2,0.320669396305018
